,code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
0,AUS,2000,7.494594594594595,116.83333333333333,1636.52856445,79.2341463414634,86.4,7.589
1,AUS,2001,6.535135135135135,128.32999999999998,1559.82128906,79.6341463414634,82.2,7.674
2,AUS,2002,6.466216216216216,148.93333333333334,1763.69567871,79.9365853658537,80.2,7.872
3,AUS,2003,6.220945945945945,229.31749999999997,2240.74609375,80.2390243902439,75.0,7.877
4,AUS,2004,6.32972972972973,258.60249999999996,2760.83081055,80.490243902439,73.1,8.083
5,AUS,2006,5.989189189189189,248.195,3194.03076172,81.0414634146342,71.3,7.972
6,AUS,2007,6.122972972972973,161.39499999999998,3815.33642578,81.2926829268293,70.5,8.052
7,AUS,2008,5.832432432432433,127.952,4107.01269531,81.3951219512195,70.1,8.247
8,AUS,2009,5.808783783783785,188.73499999999999,4011.93261719,81.5439024390244,69.8,8.542
9,AUS,2010,5.727702702702703,200.19083333333333,4975.47070313,81.6951219512195,12569.0,8.419
10,AUS,2011,5.760135135135135,202.33666666666664,5909.14990234,81.8951219512195,12771.0,8.534
11,AUS,2012,5.233108108108108,218.28083333333333,6071.65087891,82.0463414634146,66.0,8.669
12,AUS,2013,5.171621621621622,245.59666666666664,5843.17382813,82.1487804878049,65.2,8.745
13,AUS,2014,5.164864864864865,257.5208333333333,6130.99853516,82.3,67.0,9.825
14,AUS,2015,5.361486486486487,268.5733333333333,5322.97119141,82.4,68.7,10.174
15,AUS,2016,5.45945945945946,280.2933333333333,5453.92480469,82.4487804878049,5906.0,10.09
16,AUS,2017,5.318243243243243,286.4425,5813.61376953,82.5,5764.5,10.112
17,AUS,2018,5.603378378378378,299.62166666666667,5857.28808594,82.7487804878049,5742.5,10.052
18,AUS,2019,5.247972972972973,311.1458333333333,5545.91064453,82.9,64.8,10.213
19,AUT,2002,8.350335570469799,36.108666666666664,2498.0,78.6780487804878,13931.0,9.395
20,AUT,2003,7.959060402684564,36.465666666666664,3091.0,78.6317073170732,13931.0,9.547
21,AUT,2004,8.306040268456377,39.50866666666666,3595.0,79.1804878048781,13394.0,9.709
22,AUT,2005,7.933557046979866,40.377,3710.0,79.3317073170732,13117.0,9.627
23,AUT,2006,7.71006711409396,40.653,3883.0,79.8804878048781,12721.0,9.531
24,AUT,2007,7.714093959731543,40.937666666666665,4479.0,80.1804878048781,12544.0,9.532
25,AUT,2008,7.7979865771812085,41.595,5058.0,80.4317073170732,12122.0,9.726
26,AUT,2009,7.406711409395973,41.73466666666666,4929.0,80.3317073170732,12496.0,10.226
27,AUT,2010,7.53489932885906,42.321000000000005,4801.0,80.5804878048781,12451.0,10.221
28,AUT,2011,7.404697986577181,41.93266666666666,5168.0,80.9829268292683,12062.0,10.026
29,AUT,2012,7.4677852348993286,42.659666666666666,4966.0,80.9365853658537,12186.0,10.199
30,AUT,2013,7.66241610738255,47.38944444444444,5235.0,81.1365853658537,12192.0,10.286
31,AUT,2014,7.748322147651007,48.40583333333334,5394.0,81.490243902439,11959.0,10.368
32,AUT,2015,8.017449664429531,49.03722222222222,4613.0,81.190243902439,12121.0,10.368
33,AUT,2016,7.658108108108108,50.02472222222222,4710.0,81.6414634146342,11612.0,10.352
34,AUT,2017,7.784666666666666,50.11555555555555,4939.0,81.6439024390244,61.2,10.384
35,AUT,2018,8.114,50.46194444444444,5337.0,81.6926829268293,60.4,10.349
36,AUT,2019,8.414,51.5525,5263.0,81.8951219512195,59.1,10.488
37,BEL,2000,8.091275167785236,76.83,1849.91601563,77.7219512195122,93.1,7.999
38,BEL,2001,7.94496644295302,78.08500000000001,1879.93457031,77.9731707317073,91.2,8.15
39,BEL,2002,7.773154362416108,67.489,2084.7199707,78.0756097560976,101.7,8.318
40,BEL,2003,7.774829931972788,64.7475,2814.88061523,78.1292682926829,99.3,9.164
41,BEL,2004,7.660544217687075,66.48861111111111,3312.74121094,78.8780487804878,83.4,9.328
42,BEL,2005,7.529931972789115,67.12611111111111,3405.88500977,78.9804878048781,85.7,9.222
43,BEL,2006,7.428571428571429,66.29583333333333,3545.92822266,79.380487804878,82.6,9.128
44,BEL,2007,7.351020408163266,68.38222222222223,4064.87646484,79.7829268292683,83.6,9.134
45,BEL,2008,7.205442176870748,71.55583333333334,4653.50585938,79.6804878048781,83.9,9.593
46,BEL,2009,7.074149659863945,72.84166666666667,4638.43896484,80.0341463414634,84.6,10.319
47,BEL,2010,6.997278911564626,73.39138888888888,4531.03369141,80.1829268292683,86.0,10.2
48,BEL,2011,6.829931972789115,72.6088888888889,4930.14111328,80.5853658536585,84.9,10.361
49,BEL,2012,6.782993197278912,73.96222222222222,4704.47265625,80.3853658536585,82.9,10.503
50,BEL,2013,6.704081632653061,76.77694444444444,4954.92431641,80.5878048780488,83.2,10.575
51,BEL,2014,6.494557823129251,79.40861111111111,5080.125,81.2878048780488,78.7,10.608
52,BEL,2016,6.506756756756757,80.73361111111112,4542.79492188,81.4390243902439,6840.0,10.793
53,BEL,2017,6.398648648648648,81.60888888888888,4782.64697266,81.4926829268293,6946.5,10.801
54,BEL,2018,6.289864864864865,76.88625,5176.98388672,81.5951219512195,7053.5,10.861
55,BEL,2019,6.116216216216216,65.00214285714286,5049.57714844,81.9951219512195,75.9,10.76
56,BGR,2018,6.002013422818792,41.94972222222222,690.0,74.9634146341464,16087.0,7.332
57,BGR,2019,5.819463087248323,42.113055555555555,698.0,75.1121951219512,16481.5,7.092
58,CAN,2000,7.394520547945206,19.87875,2001.66870117,79.1668292682927,28598.0,8.248
59,CAN,2001,7.559310344827586,74.49333333333334,2055.75952148,79.3980487804878,28542.0,8.625
60,CAN,2002,7.604827586206897,107.48833333333332,2149.37939453,79.5307317073171,28535.5,8.857
61,CAN,2003,7.628275862068966,93.87583333333333,2552.26391602,79.7151219512195,28590.0,9.011
62,CAN,2004,7.546206896551724,96.94291666666666,2916.2512207,79.9921951219512,28085.5,9.066
63,CAN,2005,7.454482758620689,122.5323076923077,3291.22070313,80.1126829268293,28519.5,9.035
64,CAN,2006,7.632191780821917,107.02166666666666,3788.68603516,80.5436585365854,27658.5,9.325
65,CAN,2007,7.776027397260274,112.74333333333334,4221.92871094,80.5436585365854,28622.0,9.429
66,CAN,2009,8.013013698630138,121.16541666666667,4368.85693359,81.0660975609756,28598.0,10.7
67,CAN,2010,7.992465753424657,142.29576923076922,5083.98193359,81.3221951219512,28698.5,10.704
68,CAN,2011,7.915068493150685,144.7103846153846,5423.05908203,81.4826829268293,28268.5,10.408
69,CAN,2012,8.023972602739725,147.0003846153846,5538.93554688,81.6636585365854,29047.5,10.545
70,CAN,2013,8.084246575342465,203.849,5483.25585938,81.7448780487805,29691.5,10.44
71,CAN,2014,8.008219178082193,213.18333333333334,5231.73632813,81.7843902439025,30361.5,10.285
72,CAN,2015,7.8999999999999995,188.72583333333333,4677.83007813,81.8156097560976,70666.0,10.769
73,CAN,2016,7.902739726027397,131.71666666666667,4667.703125,81.9248780487805,70628.0,11.061
74,CAN,2017,7.721232876712329,157.38,4920.72851563,81.8329268292683,23699.0,10.934
75,CAN,2018,7.817808219178082,114.37875,5080.32324219,81.8439024390244,24006.0,10.943
76,CAN,2019,7.860273972602739,128.645625,5115.97607422,82.2239024390244,32419.5,11.059
77,CHE,2007,9.412751677852349,113.62166666666666,6154.703125,81.7414634146342,61.7,9.417
78,CHE,2008,9.196644295302013,117.22166666666666,7120.65283203,81.9926829268293,57.7,9.532
79,CHE,2009,8.906040268456376,64.7375,7297.37988281,82.0439024390244,2567.0,10.142
80,CHE,2010,8.834666666666667,60.66625,7640.44921875,82.2463414634147,2512.0,10.005
81,CHE,2011,8.772972972972974,62.9375,9138.3671875,82.6951219512195,54.6,10.119
82,CHE,2012,8.574,64.315,8753.8203125,82.6975609756098,51.0,10.348
83,CHE,2013,8.597972972972974,66.20041666666667,9118.18945313,82.7975609756098,49.6,10.615
84,CHE,2014,9.465540540540541,64.94250000000001,9307.96875,83.1975609756098,49.0,10.7
85,CHE,2015,8.429931972789117,67.1975,9082.45019531,82.8975609756098,5804.5,11.004
86,CHE,2016,8.58445945945946,68.93708333333333,9078.75878906,83.6024390243903,5530.5,11.229
87,CHE,2017,8.477027027027026,70.08083333333333,9119.96972656,83.5512195121951,5511.0,11.413
88,CHE,2018,7.920945945945945,72.91416666666667,9212.43261719,83.7536585365854,43.4,11.199
89,CHE,2019,8.087837837837839,73.74375,9341.0625,83.9048780487805,41.8,11.426
90,CHL,2011,7.607432432432432,32.0325,994.66607666,79.11,14990.5,6.799
91,CHL,2012,7.5898648648648654,34.18722222222222,1081.46069336,79.023,14944.5,7.02
92,CHL,2013,7.226351351351352,38.45444444444445,1183.62084961,79.339,15102.5,7.476
93,CHL,2014,7.356756756756757,68.12583333333333,1150.06164551,79.473,15264.0,7.842
94,CHL,2017,8.025503355704698,177.12,1367.71643066,80.35,193.6,9.091
95,CRI,2000,10.422818791946309,2.3066666666666666,247.70188904,77.586,184.9,6.565
96,CRI,2001,8.841610738255035,2.401666666666667,255.18231201,77.545,179.7,6.474
97,CRI,2002,8.851677852348994,2.9124999999999996,276.23712158,77.983,165.7,6.869
98,CRI,2003,10.991275167785235,3.2158333333333333,287.37347412,78.072,1447.0,6.969
99,CRI,2004,8.587919463087248,3.4133333333333336,290.13354492,78.331,1475.5,6.63
100,CRI,2005,9.025,3.505,309.51428223,78.505,157.2,6.664
101,CRI,2006,10.688513513513515,3.7016666666666667,359.79248047,78.514,157.3,6.935
102,CRI,2007,9.662162162162161,3.5883333333333334,423.63812256,78.462,139.0,6.996
103,CRI,2008,9.263265306122449,3.783333333333333,510.99154663,78.445,141.7,7.469
104,CRI,2009,10.256081081081081,4.283333333333333,529.60870361,78.672,138.2,7.86
105,CRI,2010,10.704697986577182,4.779999999999999,654.17340088,78.67,151.1,8.029
106,CRI,2011,8.502013422818791,4.770833333333333,742.14190674,79.348,140.6,8.112
107,CRI,2012,8.353020134228187,5.265000000000001,776.43487549,79.283,135.1,7.782
108,CRI,2013,8.348322147651007,5.150833333333334,816.87872314,79.403,132.4,7.679
109,CRI,2014,8.550335570469798,5.545,822.91003418,78.774,130.4,7.662
110,CRI,2015,9.09391891891892,6.135,875.34973145,79.086,306.6,7.592
111,CRI,2016,8.181208053691275,6.324166666666667,870.73840332,79.459,303.9,7.315
112,CRI,2017,7.543243243243243,6.8125,853.75048828,79.377,293.6,7.045
113,CRI,2018,7.607432432432432,6.7,902.22119141,79.484,307.2,7.286
114,CRI,2019,7.277702702702703,7.385833333333333,914.88470459,79.427,136.2,7.221
115,CZE,2000,13.004026845637583,37.58416666666667,342.92108154,74.9682926829268,7100.5,5.701
116,CZE,2001,12.991275167785235,42.54083333333333,388.54403687,75.1731707317073,6894.5,5.863
117,CZE,2002,12.714093959731544,44.836666666666666,497.74203491,75.2219512195122,6692.5,6.177
118,CZE,2003,12.735570469798658,46.94,640.66040039,75.1707317073171,6629.5,6.524
