country,year,length_stay
Chile,2003,6.0
Chile,2002,5.9
Chile,2001,5.8
Chile,2011,5.7
Chile,2010,5.9
Chile,2009,5.6
Chile,2008,5.8
Chile,2007,5.7
Chile,2006,5.6
Chile,2005,5.6
Chile,2004,5.7
Chile,2005,5.8
Chile,2004,6.5
Chile,2003,6.3
Chile,2002,6.4
Chile,2001,6.6
Chile,2018,6.0
Chile,2017,6.0
Chile,2016,6.1
Chile,2015,5.8
Chile,2014,5.7
Chile,2013,5.8
Chile,2012,5.7
Chile,2018,4.5
Chile,2017,4.9
Chile,2016,5.1
Chile,2015,6.0
Chile,2014,5.8
Chile,2013,6.4
Chile,2012,4.7
Chile,2011,3.9
Chile,2010,3.4
Chile,2009,3.3
Chile,2008,4.0
Chile,2007,3.3
Chile,2006,3.2
Chile,2005,3.4
Chile,2004,3.8
Chile,2003,3.8
Chile,2002,4.0
Chile,2001,4.2
Chile,2018,9.3
Chile,2017,9.0
Chile,2016,8.9
Chile,2015,8.4
Chile,2014,7.9
Chile,2013,8.1
Chile,2012,7.1
Chile,2011,7.0
Chile,2010,6.7
Chile,2009,6.1
Chile,2008,6.3
Chile,2007,6.4
Chile,2006,5.6
Chile,2002,14.5
Chile,2001,16.2
Chile,2018,18.7
Chile,2017,15.6
Chile,2016,17.4
Chile,2015,15.7
Chile,2014,14.8
Chile,2013,15.4
Chile,2012,14.9
Chile,2011,14.6
Chile,2010,14.4
Chile,2009,15.7
Chile,2008,14.0
Chile,2007,13.7
Chile,2006,13.9
Chile,2005,13.5
Chile,2004,12.8
Chile,2003,13.2
Chile,2002,13.0
Chile,2001,12.6
Chile,2018,24.5
Chile,2017,27.9
Chile,2016,27.2
Chile,2015,28.5
Chile,2014,26.6
Chile,2013,27.2
Chile,2012,26.7
Chile,2011,26.1
Chile,2010,24.3
Chile,2009,25.8
Chile,2008,26.8
Chile,2007,30.0
Chile,2006,25.0
Chile,2005,26.1
Chile,2004,29.6
Chile,2003,30.4
Chile,2002,27.7
Chile,2001,28.8
Chile,2018,3.7
Chile,2017,3.7
Chile,2016,3.7
Chile,2015,3.7
Chile,2014,3.6
Chile,2013,3.3
Chile,2012,3.4
Chile,2011,3.1
Chile,2010,2.9
Chile,2009,2.9
Chile,2008,2.9
Chile,2007,2.8
Chile,2006,2.9
Chile,2005,2.8
Chile,2004,3.0
Chile,2003,3.0
Chile,2002,3.3
Chile,2001,3.2
Chile,2015,9.0
Chile,2014,8.7
Chile,2013,9.1
Chile,2012,9.3
Chile,2011,8.8
Chile,2010,8.9
Chile,2009,8.5
Chile,2008,8.9
Chile,2007,9.0
Chile,2006,8.6
Chile,2005,7.6
Chile,2004,8.1
Chile,2003,8.5
Chile,2002,9.9
Chile,2001,12.2
Chile,2018,6.5
Chile,2017,6.6
Chile,2016,6.5
Chile,2015,6.5
Chile,2014,6.6
Chile,2013,6.9
Chile,2012,6.6
Chile,2011,6.3
Chile,2010,6.4
Chile,2009,6.4
Chile,2008,6.5
Chile,2007,6.6
Chile,2006,6.2
Chile,2005,5.9
Chile,2004,6.2
Chile,2003,6.3
Chile,2002,6.6
Chile,2001,7.3
Chile,2018,7.3
Chile,2017,7.4
Chile,2016,7.0
Chile,2015,6.5
Chile,2014,6.6
Chile,2013,7.4
Chile,2012,6.4
Chile,2011,6.5
Chile,2010,6.7
Chile,2009,6.3
Chile,2008,6.5
Chile,2007,7.0
Chile,2006,5.6
Chile,2005,6.0
Chile,2004,6.7
Chile,2003,6.5
Chile,2002,6.4
Chile,2001,6.6
Chile,2018,16.8
Chile,2017,17.5
Chile,2016,17.4
Chile,2015,18.8
Chile,2014,18.1
Chile,2013,17.0
Chile,2012,17.2
Chile,2011,16.4
Chile,2010,17.1
Chile,2009,19.2
Chile,2008,16.1
Chile,2007,17.3
Chile,2006,16.9
Chile,2005,15.1
Chile,2004,14.7
Chile,2003,13.2
Chile,2005,4.9
Chile,2004,7.7
Chile,2003,5.9
Chile,2002,6.9
Chile,2001,7.5
Chile,2018,3.3
Chile,2017,3.3
Chile,2016,3.3
Chile,2015,3.5
Chile,2014,4.3
Chile,2013,3.7
Chile,2012,3.7
Chile,2011,4.1
Chile,2010,3.9
Chile,2009,4.1
Chile,2008,4.3
Chile,2007,4.6
Chile,2006,4.1
Chile,2005,4.1
Chile,2004,4.6
Chile,2003,4.0
Chile,2002,4.7
Chile,2001,6.1
Chile,2018,4.2
Chile,2017,4.4
Chile,2016,4.4
Chile,2015,4.9
Chile,2014,4.1
Chile,2013,4.7
Chile,2012,4.8
Chile,2011,4.5
Chile,2010,4.8
Chile,2009,4.9
Chile,2008,5.3
Chile,2007,5.4
Chile,2006,4.7
Chile,2005,5.0
Chile,2004,5.2
Chile,2003,5.7
Chile,2002,5.6
Chile,2001,6.6
Chile,2018,9.7
Chile,2017,10.2
Chile,2016,9.7
Chile,2015,10.1
Chile,2014,9.8
Chile,2013,9.0
Chile,2012,9.7
Chile,2011,9.4
Chile,2010,9.1
Chile,2009,8.6
Chile,2008,9.3
Chile,2007,9.0
Chile,2006,8.5
Chile,2005,7.7
Chile,2004,8.6
Chile,2003,9.4
Chile,2002,9.1
Chile,2001,10.2
Chile,2018,8.9
Chile,2017,8.7
Chile,2016,8.0
Chile,2018,7.0
Chile,2017,7.1
Chile,2016,6.7
Chile,2015,7.3
Chile,2014,7.5
Chile,2013,7.6
Chile,2012,8.4
Chile,2011,8.7
Chile,2010,8.8
Chile,2009,8.6
