country,year,set_healtchare_capita_outcomes,base_period
Türkiye,2007,4409.0,
Türkiye,2006,3120.0,
Türkiye,2005,2067.0,
Türkiye,2004,1405.0,
Türkiye,2003,603.0,
Türkiye,2002,443.0,
Türkiye,2001,310.0,
Costa Rica,2018,0.242,
Türkiye,2017,9666.477,
Türkiye,2016,7215.637,
Türkiye,2011,3235.44,
Türkiye,2010,3054.884,
Türkiye,2009,2616.641,
Türkiye,2008,5420.0,
Israel,2004,0.233,
Israel,2003,0.25,
Israel,2002,0.258,
Israel,2001,0.307,
Israel,2016,0.258,
Israel,2015,0.302,
Israel,2014,0.24,
Israel,2013,0.279,
Israel,2012,0.251,
Israel,2011,0.31,
Israel,2010,0.349,
Israel,2009,0.4,
Israel,2008,0.314,
Israel,2005,0.236,
Israel,2018,0.242,
Israel,2017,0.281,
Costa Rica,2016,0.243,
Costa Rica,2015,0.214,
Costa Rica,2014,0.194,
Costa Rica,2013,0.283,
Costa Rica,2012,0.131,
Costa Rica,2011,0.145,
Czechia,2016,100.0,
Czechia,2015,100.0,
Czechia,2014,100.0,
Czechia,2013,100.0,
Czechia,2012,100.0,
Czechia,2011,100.0,
Czechia,2010,100.0,
Czechia,2006,100.0,
Czechia,2018,100.0,
Slovenia,2004,4.037,
Slovenia,2003,3.871,
Slovenia,2006,4.977,
Luxembourg,2005,100.0,
Luxembourg,2004,100.0,
Luxembourg,2003,100.0,
Luxembourg,2002,100.0,
Luxembourg,2001,100.0,
Luxembourg,2010,100.0,
Luxembourg,2009,100.0,
Luxembourg,2007,100.0,
Greece,2016,33.07,2015.0
Greece,2015,29.052,2015.0
Greece,2014,19.38,2015.0
Greece,2013,40.212,2015.0
Greece,2012,27.942,2015.0
Greece,2011,39.274,2015.0
Greece,2010,29.667,2015.0
Greece,2009,56.12,2015.0
Greece,2018,30.539,2015.0
Portugal,2018,395.852,2015.0
Portugal,2017,372.46,2015.0
Portugal,2016,358.791,2015.0
Czechia,2006,0.163,
Czechia,2005,0.193,
Czechia,2004,0.2,
Czechia,2003,0.231,
Czechia,2018,0.085,
Czechia,2017,0.066,
Czechia,2016,0.08,
Czechia,2015,0.084,
Czechia,2014,0.067,
Czechia,2013,0.071,
Czechia,2012,0.094,
Czechia,2011,0.117,
Czechia,2010,0.167,
Czechia,2009,0.174,
Czechia,2008,0.136,
Israel,2002,1928.24,2015.0
Israel,2001,2283.891,2015.0
Israel,2016,3197.088,2015.0
Israel,2015,3557.0,2015.0
Israel,2014,2690.739,2015.0
Israel,2013,3015.121,2015.0
Israel,2012,2614.062,2015.0
Israel,2011,3114.399,2015.0
Israel,2010,3378.682,2015.0
Israel,2009,3723.98,2015.0
Israel,2008,2837.663,2015.0
Israel,2005,1917.219,2015.0
Israel,2018,3230.877,2015.0
Israel,2017,3610.335,2015.0
Israel,2004,1830.487,2015.0
Latvia,2018,0.001,
Latvia,2017,0.001,
Spain,2018,1.026,2015.0
Spain,2017,0.567,2015.0
Spain,2016,0.074,2015.0
Spain,2015,0.107,2015.0
Spain,2014,0.046,2015.0
Spain,2013,0.053,2015.0
Spain,2012,0.126,2015.0
Spain,2011,0.091,2015.0
Spain,2010,1.018,2015.0
Spain,2009,0.735,2015.0
Spain,2008,3.945,2015.0
Spain,2007,3.972,2015.0
Spain,2006,0.642,2015.0
Spain,2005,6.991,2015.0
Spain,2004,6.07,2015.0
Spain,2003,1.91,2015.0
Finland,2014,0.644,2015.0
Finland,2013,0.622,2015.0
Finland,2012,2.062,2015.0
Finland,2011,1.076,2015.0
Finland,2010,0.784,2015.0
Finland,2009,0.917,2015.0
Finland,2004,0.593,2015.0
Finland,2003,2.28,2015.0
Finland,2002,2.018,2015.0
Finland,2001,0.911,2015.0
Finland,2008,0.707,2015.0
Finland,2007,0.236,2015.0
Finland,2006,1.131,2015.0
Finland,2005,0.579,2015.0
Finland,2003,0.001,
Finland,2002,0.001,
Finland,2012,0.001,
Finland,2011,0.001,
Costa Rica,2015,100.0,
Costa Rica,2014,100.0,
Costa Rica,2013,100.0,
Costa Rica,2012,100.0,
Costa Rica,2011,100.0,
Costa Rica,2018,100.0,
Costa Rica,2017,100.0,
Czechia,2007,364.644,2015.0
Czechia,2006,346.443,2015.0
Czechia,2005,456.693,2015.0
Czechia,2004,376.681,2015.0
Czechia,2018,425.11,2015.0
Czechia,2017,690.713,2015.0
Czechia,2016,689.807,2015.0
Czechia,2015,856.015,2015.0
Czechia,2014,380.178,2015.0
Czechia,2013,348.35,2015.0
Czechia,2012,738.364,2015.0
Czechia,2011,424.235,2015.0
Czechia,2010,274.442,2015.0
Czechia,2003,331.628,2015.0
Czechia,2009,438.201,2015.0
Spain,2008,0.041,
Spain,2007,0.041,
Spain,2006,0.05,
Spain,2005,0.042,
Spain,2004,0.035,
Spain,2003,0.04,
Spain,2018,0.016,
Spain,2017,0.016,
Spain,2016,0.013,
Spain,2015,0.015,
Spain,2014,0.015,
Spain,2013,0.012,
Spain,2012,0.016,
Spain,2011,0.021,
Spain,2010,0.032,
Sweden,2006,854.877,2015.0
Sweden,2005,966.589,2015.0
Sweden,2004,1267.596,2015.0
Sweden,2003,1139.757,2015.0
Sweden,2002,1108.876,2015.0
Sweden,2001,1392.026,2015.0
Sweden,2018,3794.067,2015.0
Sweden,2017,3046.887,2015.0
Sweden,2016,2643.741,2015.0
Sweden,2015,2666.0,2015.0
Sweden,2014,2837.255,2015.0
Sweden,2013,925.463,2015.0
Sweden,2012,911.86,2015.0
Sweden,2011,999.902,2015.0
Sweden,2010,942.989,2015.0
Sweden,2009,1089.196,2015.0
Portugal,2018,73.784,
Portugal,2017,43.363,
Portugal,2016,28.06,
United States,2008,0.355,
United States,2007,0.327,
United States,2006,0.301,
United States,2005,0.276,
United States,2004,0.27,
United States,2003,0.271,
United States,2002,0.267,
United States,2001,0.247,
United States,2018,0.3,
United States,2017,0.297,
United States,2016,0.269,
United States,2015,0.276,
United States,2014,0.286,
United States,2013,0.304,
United States,2012,0.309,
United States,2011,0.308,
United States,2010,0.311,
Spain,2016,100.0,
Spain,2015,100.0,
Spain,2014,100.0,
Spain,2013,100.0,
Spain,2008,100.0,
Spain,2007,100.0,
Spain,2006,100.0,
Spain,2005,100.0,
Spain,2004,100.0,
Spain,2003,100.0,
Spain,2012,100.0,
Spain,2011,100.0,
Spain,2010,100.0,
Spain,2009,100.0,
Spain,2018,100.0,
Portugal,2018,17.006,
Portugal,2017,7.748,
Australia,2015,343.0,2015.0
Australia,2014,192.127,2015.0
Australia,2003,4401.985,2015.0
Australia,2002,4994.893,2015.0
Australia,2001,4353.42,2015.0
Australia,2018,546.496,2015.0
Australia,2017,393.776,2015.0
Malta,2018,8.481,
Malta,2017,0.464,
Latvia,2018,2.521,
Latvia,2018,0.456,
Latvia,2017,0.735,
Portugal,2018,0.002,
Portugal,2017,0.003,
Latvia,2018,1.28,2015.0
Costa Rica,2014,47.224,
Costa Rica,2013,16.964,
Costa Rica,2012,49.024,
Costa Rica,2011,56.162,
Costa Rica,2018,195.135,
Costa Rica,2017,163.435,
Costa Rica,2016,250.945,
Finland,2006,47.667,2015.0
Finland,2005,29.798,2015.0
Finland,2004,23.579,2015.0
Finland,2003,25.133,2015.0
Finland,2002,22.993,2015.0
Finland,2001,22.599,2015.0
Finland,2018,37.692,2015.0
Finland,2017,30.508,2015.0
Finland,2016,28.464,2015.0
Finland,2015,28.087,2015.0
Finland,2014,28.259,2015.0
Finland,2013,48.84,2015.0
Finland,2012,49.061,2015.0
Finland,2011,31.251,2015.0
Finland,2010,38.876,2015.0
Finland,2009,37.767,2015.0
Finland,2008,27.894,2015.0
Portugal,2018,0.003,
Portugal,2017,0.003,
Portugal,2016,0.002,
Portugal,2018,889.128,
Portugal,2017,813.256,
Portugal,2018,0.042,
Portugal,2017,0.041,
Portugal,2016,0.045,
Costa Rica,2016,1640.317,2015.0
Costa Rica,2015,1160.416,2015.0
Costa Rica,2014,861.625,2015.0
Costa Rica,2013,425.214,2015.0
Costa Rica,2012,306.569,2015.0
Costa Rica,2011,446.523,2015.0
Costa Rica,2018,2421.036,2015.0
Sweden,2007,876.891,2015.0
Ireland,2005,700.506,2015.0
Ireland,2004,985.847,2015.0
Ireland,2003,824.833,2015.0
Ireland,2002,943.479,2015.0
Ireland,2001,880.795,2015.0
Ireland,2018,1363.326,2015.0
Ireland,2017,1160.389,2015.0
Ireland,2016,1221.144,2015.0
Ireland,2015,1068.314,2015.0
Ireland,2014,900.578,2015.0
Ireland,2013,929.4,2015.0
Ireland,2012,555.67,2015.0
Austria,2018,2874.125,
Austria,2017,2823.501,
Austria,2016,2592.713,
Austria,2015,2687.866,
Austria,2014,2508.619,
Austria,2013,2373.852,
Austria,2012,2428.564,
Austria,2011,2159.105,
Austria,2010,2052.634,
Austria,2009,1905.669,
Austria,2008,1875.362,
Austria,2007,1763.454,
Austria,2006,1567.007,
Austria,2005,1603.653,
Austria,2004,1517.168,
Austria,2003,1443.882,
Austria,2002,1347.182,
Austria,2001,1233.65,
Malta,2018,70.219,
Malta,2017,61.15,
Lithuania,2005,0.009,
Latvia,2007,4.01,
Latvia,2018,6.799,
Slovak Republic,2007,2.527,2015.0
Canada,2011,0.091,
Canada,2010,0.085,
Canada,2009,0.092,
Canada,2008,0.083,
Canada,2003,0.122,
Canada,2018,0.058,
Canada,2016,0.068,
Canada,2015,0.086,
Canada,2014,0.072,
Canada,2007,0.118,
Canada,2006,0.1,
Canada,2005,0.1,
Canada,2004,0.085,
Canada,2013,0.085,
Slovak Republic,2005,0.123,
Slovak Republic,2007,0.011,
United States,2011,100.0,
United States,2010,100.0,
United States,2009,100.0,
United States,2008,100.0,
United States,2007,100.0,
United States,2006,100.0,
United States,2005,100.0,
United States,2004,100.0,
United States,2003,100.0,
United States,2002,100.0,
United States,2001,100.0,
United States,2018,100.0,
United States,2017,100.0,
United States,2016,100.0,
United States,2015,100.0,
United States,2014,100.0,
United States,2013,100.0,
Ireland,2010,607.246,2015.0
Ireland,2009,687.116,2015.0
Ireland,2008,784.164,2015.0
Ireland,2007,869.527,2015.0
Ireland,2006,551.192,2015.0
Sweden,2002,8.309,
Sweden,2001,8.635,
Sweden,2018,14.419,
Sweden,2017,6.869,
Sweden,2016,6.708,
Sweden,2015,20.798,
Sweden,2014,7.233,
Sweden,2013,4.574,
Sweden,2012,6.25,
Sweden,2011,7.632,
Sweden,2010,8.696,
Sweden,2009,6.599,
Costa Rica,2017,0.005,
United Kingdom,2018,3111.81,2015.0
United Kingdom,2017,3004.105,2015.0
United Kingdom,2016,2407.101,2015.0
United Kingdom,2015,2529.0,2015.0
United Kingdom,2014,2066.535,2015.0
United Kingdom,2013,1895.435,2015.0
United Kingdom,2012,2036.542,2015.0
United Kingdom,2011,2222.429,2015.0
United Kingdom,2010,4419.843,2015.0
United Kingdom,2009,7795.602,2015.0
United Kingdom,2008,7187.359,2015.0
United Kingdom,2007,7970.788,2015.0
United Kingdom,2006,5739.086,2015.0
United Kingdom,2005,5521.135,2015.0
United Kingdom,2004,3578.328,2015.0
United Kingdom,2003,3893.976,2015.0
