,code,country,year,set_healtchare_capita_outcomes
0,AUS,Australia,2000,452.467
1,AUS,Australia,2000,0.401
2,AUS,Australia,2000,0.465
3,AUS,Australia,2000,100.0
4,AUS,Australia,2000,2838.097
5,AUS,Australia,2000,100.0
6,AUS,Australia,2000,0.064
7,AUS,Australia,2000,100.0
8,AUS,Australia,2000,3290.564
9,AUS,Australia,2001,474.275
10,AUS,Australia,2001,0.41
11,AUS,Australia,2001,0.473
12,AUS,Australia,2001,100.0
13,AUS,Australia,2001,3102.412
14,AUS,Australia,2001,100.0
15,AUS,Australia,2001,0.063
16,AUS,Australia,2001,100.0
17,AUS,Australia,2001,3576.687
18,AUS,Australia,2002,313.824
19,AUS,Australia,2002,0.456
20,AUS,Australia,2002,100.0
21,AUS,Australia,2002,0.495
22,AUS,Australia,2002,3662.655
23,AUS,Australia,2002,100.0
24,AUS,Australia,2002,0.039
25,AUS,Australia,2002,100.0
26,AUS,Australia,2002,3976.479
27,AUS,Australia,2003,330.501
28,AUS,Australia,2003,0.379
29,AUS,Australia,2003,0.418
30,AUS,Australia,2003,100.0
31,AUS,Australia,2003,3278.378
32,AUS,Australia,2003,100.0
33,AUS,Australia,2003,0.038
34,AUS,Australia,2003,100.0
35,AUS,Australia,2003,3608.879
36,AUS,Australia,2013,0.57
37,AUS,Australia,2013,100.0
38,AUS,Australia,2013,9114.071
39,AUS,Australia,2014,100.0
40,AUS,Australia,2014,104.0
41,AUS,Australia,2014,0.039
42,AUS,Australia,2014,7589.292
43,AUS,Australia,2014,100.0
44,AUS,Australia,2014,153.0
45,AUS,Australia,2014,100.0
46,AUS,Australia,2014,626.0
47,AUS,Australia,2014,100.0
48,AUS,Australia,2014,23.0
49,AUS,Australia,2014,0.012
50,AUS,Australia,2014,100.0
51,AUS,Australia,2014,156.0
52,AUS,Australia,2014,0.589
53,AUS,Australia,2014,100.0
54,AUS,Australia,2014,100.0
55,AUS,Australia,2014,725.369
56,AUS,Australia,2014,190.0
57,AUS,Australia,2014,100.0
58,AUS,Australia,2014,0.467
59,AUS,Australia,2014,0.009
60,AUS,Australia,2014,0.001
61,AUS,Australia,2014,100.0
62,AUS,Australia,2014,0.045
63,AUS,Australia,2014,9566.661
64,AUS,Australia,2014,0.01
65,AUS,Australia,2014,0.006
66,AUS,Australia,2015,100.0
67,AUS,Australia,2015,103.0
68,AUS,Australia,2015,0.041
69,AUS,Australia,2015,7601.907
70,AUS,Australia,2015,100.0
71,AUS,Australia,2015,157.0
72,AUS,Australia,2015,100.0
73,AUS,Australia,2015,687.0
74,AUS,Australia,2015,100.0
75,AUS,Australia,2015,31.0
76,AUS,Australia,2015,0.021
77,AUS,Australia,2015,100.0
78,AUS,Australia,2015,113.0
79,AUS,Australia,2015,0.615
80,AUS,Australia,2015,100.0
81,AUS,Australia,2015,343.0
82,AUS,Australia,2015,100.0
83,AUS,Australia,2015,0.458
84,AUS,Australia,2015,0.009
85,AUS,Australia,2015,100.0
86,AUS,Australia,2015,10204.837
87,AUS,Australia,2015,0.007
88,AUS,Australia,2015,0.006
89,AUS,Australia,2015,1168.93
90,AUS,Australia,2015,100.0
91,AUS,Australia,2015,0.002
92,AUS,Australia,2015,0.07
93,AUS,Australia,2016,100.0
94,AUS,Australia,2016,0.72
95,AUS,Australia,2016,85.0
96,AUS,Australia,2016,100.0
97,AUS,Australia,2016,0.044
98,AUS,Australia,2016,100.0
99,AUS,Australia,2016,7381.429
100,AUS,Australia,2016,100.0
101,AUS,Australia,2016,779.0
102,AUS,Australia,2016,187.0
103,AUS,Australia,2016,0.017
104,AUS,Australia,2016,19.0
105,AUS,Australia,2016,100.0
106,AUS,Australia,2016,140.0
107,AUS,Australia,2016,100.0
108,AUS,Australia,2016,100.0
109,AUS,Australia,2016,3777.966
110,AUS,Australia,2016,100.0
111,AUS,Australia,2016,0.001
112,AUS,Australia,2016,0.215
113,AUS,Australia,2016,12667.395
114,AUS,Australia,2016,0.008
115,AUS,Australia,2016,298.0
116,AUS,Australia,2016,0.011
117,AUS,Australia,2016,0.42
118,AUS,Australia,2016,100.0
119,AUS,Australia,2016,0.005
120,AUS,Australia,2017,100.0
121,AUS,Australia,2017,56.0
122,AUS,Australia,2017,0.035
123,AUS,Australia,2017,6718.709
124,AUS,Australia,2017,100.0
125,AUS,Australia,2017,154.0
126,AUS,Australia,2017,100.0
127,AUS,Australia,2017,642.0
128,AUS,Australia,2017,100.0
129,AUS,Australia,2017,7.0
130,AUS,Australia,2017,0.022
131,AUS,Australia,2017,100.0
132,AUS,Australia,2017,121.0
133,AUS,Australia,2017,100.0
134,AUS,Australia,2017,0.503
135,AUS,Australia,2017,100.0
136,AUS,Australia,2017,403.0
137,AUS,Australia,2017,1176.324
138,AUS,Australia,2017,100.0
139,AUS,Australia,2017,0.364
140,AUS,Australia,2017,0.008
141,AUS,Australia,2017,100.0
142,AUS,Australia,2017,0.064
143,AUS,Australia,2017,9278.033
144,AUS,Australia,2017,0.007
145,AUS,Australia,2017,0.003
146,AUS,Australia,2018,100.0
147,AUS,Australia,2018,126.0
148,AUS,Australia,2018,0.033
149,AUS,Australia,2018,8109.403
150,AUS,Australia,2018,100.0
151,AUS,Australia,2018,59.0
152,AUS,Australia,2018,100.0
153,AUS,Australia,2018,650.0
154,AUS,Australia,2018,100.0
155,AUS,Australia,2018,21.0
156,AUS,Australia,2018,0.029
157,AUS,Australia,2018,100.0
158,AUS,Australia,2018,127.0
159,AUS,Australia,2018,100.0
160,AUS,Australia,2018,0.536
161,AUS,Australia,2018,100.0
162,AUS,Australia,2018,570.0
163,AUS,Australia,2018,784.691
