code,country,frequency_of_observation,measure,unit_of_measure,financing_scheme,financing_scheme_rev,health_function,mode_of_provision,provider,health_care_provider,year,health_expenditure_as_percent_gdp,unit_mult
LVA,Latvia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.098,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,3.246,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,3.504,0
BEL,Belgium,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.608,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,3.62,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,3.749,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,3.375,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,3.594,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,3.625,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,3.628,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,3.749,0
USA,United States,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,16.14,0
USA,United States,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,16.197,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,4.742,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,4.57,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,4.309,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,4.194,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,4.339,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,3.886,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,3.68,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,3.95,0
